database,source_row,source_id,title,authors,normalized_title,normalized_authors,year,doi,publication_title,document_type,url
ieee,27,10.1109/ICARCV.2006.345212,SmartC: A Component-Based Hierarchical Modeling Language for Automotive Electronics,G. Yang; M. Zhao; Hongli; Z. Wu,smartc a component based hierarchical modeling language for automotive electronics,g yang m zhao hongli z wu,2006,10.1109/ICARCV.2006.345212,"2006 9th International Conference on Control, Automation, Robotics and Vision",IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4150282
ieee,28,10.1109/LES.2024.3467332,Software-Defined Watchdog Timers for Cyber-Physical Systems,B. Asch; E. Jellum; M. Lohstroh; E. A. Lee,software defined watchdog timers for cyber physical systems,b asch e jellum m lohstroh e a lee,2025,10.1109/LES.2024.3467332,IEEE Embedded Systems Letters,IEEE Journals,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10693560
ieee,29,10.1109/ISCAIT64916.2025.11010443,Dangerous Driving Behavior Monitoring System based on Raspberry PI 5,T. Liu; L. Ding; Y. Yao; X. Deng; Y. Zhang; K. Jiang,dangerous driving behavior monitoring system based on raspberry pi 5,t liu l ding y yao x deng y zhang k jiang,2025,10.1109/ISCAIT64916.2025.11010443,2025 4th International Symposium on Computer Applications and Information Technology (ISCAIT),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11010443
ieee,30,10.1109/EMSOFT.2015.7318267,Building a hybrid systems modeler from synchronous language principles,M. Pouzet,building a hybrid systems modeler from synchronous language principles,m pouzet,2015,10.1109/EMSOFT.2015.7318267,2015 International Conference on Embedded Software (EMSOFT),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7318267
ieee,31,10.1109/FDL.2018.8524036,"Blech, Imperative Synchronous Programming!",F. Gretz; F. -J. Grosch,blech imperative synchronous programming,f gretz f j grosch,2018,10.1109/FDL.2018.8524036,2018 Forum on Specification & Design Languages (FDL),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8524036
ieee,32,10.1109/DATE.2002.998390,Extending synchronous languages for generating abstract real-time models,G. Logothetis; K. Schneider,extending synchronous languages for generating abstract real time models,g logothetis k schneider,2002,10.1109/DATE.2002.998390,"Proceedings 2002 Design, Automation and Test in Europe Conference and Exhibition",IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998390
ieee,33,10.1109/LES.2024.3498932,"Lustre, Fast First, and Fresh",T. Bourke; M. Pouzet,lustre fast first and fresh,t bourke m pouzet,2025,10.1109/LES.2024.3498932,IEEE Embedded Systems Letters,IEEE Journals,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10753468
ieee,34,10.1109/FDL50818.2020.9232943,A Hard Real Time Demonstrator for Dynamic Ticks and Timed SCCharts,A. Boysen; A. Schulz-Rosengarten; R. von Hanxleden,a hard real time demonstrator for dynamic ticks and timed sccharts,a boysen a schulz rosengarten r von hanxleden,2020,10.1109/FDL50818.2020.9232943,2020 Forum for Specification and Design Languages (FDL),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9232943
ieee,35,10.1109/TSE.2012.85,Embedding Polychrony into Synchrony,J. Brandt; M. Gemünde; K. Schneider; S. K. Shukla; J. -P. Talpin,embedding polychrony into synchrony,j brandt m gemünde k schneider s k shukla j p talpin,2013,10.1109/TSE.2012.85,IEEE Transactions on Software Engineering,IEEE Journals,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6381420
ieee,36,10.1109/JRFID.2022.3172691,Investigation of Circularly Polarized CPW Fed Antenna as a 2.45 GHz RFID Reader,A. Birwal; V. Kaushal; K. Patel,investigation of circularly polarized cpw fed antenna as a 2 45 ghz rfid reader,a birwal v kaushal k patel,2022,10.1109/JRFID.2022.3172691,IEEE Journal of Radio Frequency Identification,IEEE Journals,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9770194
ieee,37,10.1109/DATE.2003.1186386,Exact high level WCET analysis of synchronous programs by symbolic state space exploration,G. Logothetis; K. Schneider,exact high level wcet analysis of synchronous programs by symbolic state space exploration,g logothetis k schneider,2003,10.1109/DATE.2003.1186386,"2003 Design, Automation and Test in Europe Conference and Exhibition",IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1186386
ieee,38,10.1109/DATE.2005.165,galsC: a language for event-driven embedded systems,E. Cheong; J. Liu,galsc a language for event driven embedded systems,e cheong j liu,2005,10.1109/DATE.2005.165,"Design, Automation and Test in Europe",IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1395729
ieee,39,10.1109/SIES.2013.6601486,Engineering functional requirements of reactive systems using synchronous languages,E. Jahier; N. Halbwachs; P. Raymond,engineering functional requirements of reactive systems using synchronous languages,e jahier n halbwachs p raymond,2013,10.1109/SIES.2013.6601486,2013 8th IEEE International Symposium on Industrial Embedded Systems (SIES),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6601486
ieee,40,10.1109/ACSD.2009.24,Desynchronizing Synchronous Programs by Modes,J. Brandt; M. Gemunde; K. Schneider,desynchronizing synchronous programs by modes,j brandt m gemunde k schneider,2009,10.1109/ACSD.2009.24,2009 Ninth International Conference on Application of Concurrency to System Design,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5291070
ieee,41,10.1109/MEMCOD.2012.6292300,Preservation of LTL properties in desynchronized systems,Y. Bai; J. Brandt; K. Schneider,preservation of ltl properties in desynchronized systems,y bai j brandt k schneider,2012,10.1109/MEMCOD.2012.6292300,Tenth ACM/IEEE International Conference on Formal Methods and Models for Codesign (MEMCODE2012),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6292300
ieee,42,10.1145/1289816.1289842,HW/SW co-design for Esterel processing,S. Gädtke; C. Traulsen; R. von Hanxleden,hw sw co design for esterel processing,s gädtke c traulsen r von hanxleden,2007,10.1145/1289816.1289842,2007 5th IEEE/ACM/IFIP International Conference on Hardware/Software Codesign and System Synthesis (CODES+ISSS),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5753867
ieee,43,10.1109/FDL50818.2020.9232938,The Sparse Synchronous Model,S. A. Edwards; J. Hui,the sparse synchronous model,s a edwards j hui,2020,10.1109/FDL50818.2020.9232938,2020 Forum for Specification and Design Languages (FDL),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9232938
ieee,44,10.1109/TC.2013.28,A Predictable Framework for Safety-Critical Embedded Systems,S. Andalam; P. S. Roop; A. Girault; C. Traulsen,a predictable framework for safety critical embedded systems,s andalam p s roop a girault c traulsen,2014,10.1109/TC.2013.28,IEEE Transactions on Computers,IEEE Journals,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6463378
ieee,45,ieee:row:45,Timestamp Peripherals for Precise Real-Time Programming,J. Hui; K. J. Edwards; S. A. Edwards,timestamp peripherals for precise real time programming,j hui k j edwards s a edwards,2023,,2023 21st ACM-IEEE International Symposium on Formal Methods and Models for System Design (MEMOCODE),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10316219
ieee,46,10.1109/JPROC.2002.805828,Model-based programming of intelligent embedded systems and robotic space explorers,B. C. Williams; M. D. Ingham; S. H. Chung; P. H. Elliott,model based programming of intelligent embedded systems and robotic space explorers,b c williams m d ingham s h chung p h elliott,2003,10.1109/JPROC.2002.805828,Proceedings of the IEEE,IEEE Journals,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1173215
ieee,47,10.1109/EDGE60047.2023.00047,Context-Aware Task Handling in Resource-Constrained Robots with Virtualization,R. Hadidi; N. S. Ghaleshahi; B. Asgari; H. Kim,context aware task handling in resource constrained robots with virtualization,r hadidi n s ghaleshahi b asgari h kim,2023,10.1109/EDGE60047.2023.00047,2023 IEEE International Conference on Edge Computing and Communications (EDGE),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10234269
ieee,48,10.1109/ACSD.2008.4574599,Performing causality analysis by bounded model checking,K. Schneider; J. Brandt,performing causality analysis by bounded model checking,k schneider j brandt,2008,10.1109/ACSD.2008.4574599,2008 8th International Conference on Application of Concurrency to System Design,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4574599
ieee,49,10.1109/ACSD.2013.10,Modular Verification of Synchronous Programs,M. Gesell; K. Schneider,modular verification of synchronous programs,m gesell k schneider,2013,10.1109/ACSD.2013.10,2013 13th International Conference on Application of Concurrency to System Design,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6598342
ieee,50,10.1109/CASES.2013.6662526,ILPc: A novel approach for scalable timing analysis of synchronous programs,J. J. Wang; P. S. Roop; S. Andalam,ilpc a novel approach for scalable timing analysis of synchronous programs,j j wang p s roop s andalam,2013,10.1109/CASES.2013.6662526,"2013 International Conference on Compilers, Architecture and Synthesis for Embedded Systems (CASES)",IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6662526
ieee,51,10.1109/MEMCOD.2009.5185392,Static data-flow analysis of synchronous programs,J. Brandt; K. Schneider,static data flow analysis of synchronous programs,j brandt k schneider,2009,10.1109/MEMCOD.2009.5185392,2009 7th IEEE/ACM International Conference on Formal Methods and Models for Co-Design,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5185392
ieee,52,10.1109/HLDVT.2006.319993,Polychronous Methodology For System Design: A True Concurrency Approach,S. Suhaib; D. Mathaikutty; S. Shukla; J. -p. Talpin,polychronous methodology for system design a true concurrency approach,s suhaib d mathaikutty s shukla j p talpin,2006,10.1109/HLDVT.2006.319993,2006 IEEE International High Level Design Validation and Test Workshop,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4110092
ieee,53,10.1109/IROS.2006.281755,Specifying Robot Reactivity in Procedural Languages,G. Biggs; B. A. MacDonald,specifying robot reactivity in procedural languages,g biggs b a macdonald,2006,10.1109/IROS.2006.281755,2006 IEEE/RSJ International Conference on Intelligent Robots and Systems,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4058986
ieee,54,ieee:row:54,Schizophrenia and causality in the context of refined clocks,M. Gemünde; J. Brandt; K. Schneider,schizophrenia and causality in the context of refined clocks,m gemünde j brandt k schneider,2011,,FDL 2011 Proceedings,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6069475
ieee,55,10.1109/ASPDAC.2001.913344,A formal approach to component based development of synchronous programs,P. S. Roop; A. Sowmya; S. Ramesh,a formal approach to component based development of synchronous programs,p s roop a sowmya s ramesh,2001,10.1109/ASPDAC.2001.913344,Proceedings of the ASP-DAC 2001. Asia and South Pacific Design Automation Conference 2001 (Cat. No.01EX455),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=913344
ieee,56,10.1109/EMSOFT.2013.6658579,"A synchronous embedding of Antescofo, a domain-specific language for interactive mixed music",G. Baudart; F. Jacquemard; L. Mandel; M. Pouzet,a synchronous embedding of antescofo a domain specific language for interactive mixed music,g baudart f jacquemard l mandel m pouzet,2013,10.1109/EMSOFT.2013.6658579,2013 Proceedings of the International Conference on Embedded Software (EMSOFT),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658579
ieee,57,10.1109/CIT.2010.332,Response Time Analysis of the Abort-and-Restart Model under Symmetric Multiprocessing,J. Ras; A. M. K. Cheng,response time analysis of the abort and restart model under symmetric multiprocessing,j ras a m k cheng,2010,10.1109/CIT.2010.332,2010 10th IEEE International Conference on Computer and Information Technology,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5577989
ieee,58,10.1109/MEMCOD.2010.5558633,Compilation of imperative synchronous programs with refined clocks,M. Gemünde; J. Brandt; K. Schneider,compilation of imperative synchronous programs with refined clocks,m gemünde j brandt k schneider,2010,10.1109/MEMCOD.2010.5558633,Eighth ACM/IEEE International Conference on Formal Methods and Models for Codesign (MEMOCODE 2010),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5558633
