"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Extending synchronous languages for generating abstract real-time models","G. Logothetis; K. Schneider","Institute for Computer Design and Fault Tolerance, University of Karlsruhe, Karlsruhe, Germany; Institute for Computer Design and Fault Tolerance, University of Karlsruhe, Karlsruhe, Germany","Proceedings 2002 Design, Automation and Test in Europe Conference and Exhibition","7 Aug 2002","2002","","","795","802","We present an extension of synchronous programming languages that can be used to declare program locations irrelevant for verification. An efficient algorithm is proposed to generate from the output of the usual compilation an abstract real-time model by ignoring the irrelevant states, while retaining the quantitative information. Our technique directly generates a single real-time transition system, thus overcoming the known problem of composing several real-time models. A major application of this approach is the verification of real-time properties by symbolic model checking.","1530-1591","0-7695-1471-5","10.1109/DATE.2002.998390","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=998390","","Synchronous generators;Real time systems;Fault tolerance;Time to market;Costs;State-space methods;Safety;Hardware;Embedded system;Formal verification","","6","","30","IEEE","7 Aug 2002","4-8 March 2002","4-8 March 2002","IEEE","IEEE Conferences"
"Lustre, Fast First, and Fresh","T. Bourke; M. Pouzet","Inria, Paris, France; Inria, Paris, France",IEEE Embedded Systems Letters,"17 Apr 2025","2025","17","2","119","122","The rate-synchronous model formalizes an industrial approach for composing Lustre nodes that execute at different rates. Such programs are compiled to cyclic sequential code in two steps. First, an integer linear program is solved to assign each component to a phase relative to its period. Second, the corresponding step functions are ordered for execution within a cycle of the generated code. By default, programs are deterministic: for any valid schedule, the generated code calculates the values decreed by the source dataflow semantics at the specified rates. In practice, though, specifying precise values in the source program is sometimes unnecessary, impracticable, and overly constraining. In this case, the integer linear programming constraints can be relaxed, though not necessarily completely, and their solution decides which dataflow semantics applies. Care is still required to ensure that code generation remains deterministic.","1943-0671","","10.1109/LES.2024.3498932","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10753468","Dataflow synchronous programming;time-centric reactive software","Codes;Streams;Syntactics;Semantics;Clocks;Mathematical models;Schedules;Switches;Reactive power;Pipelines","","1","","14","IEEE","14 Nov 2024","April 2025","","IEEE","IEEE Journals"
"A Hard Real Time Demonstrator for Dynamic Ticks and Timed SCCharts","A. Boysen; A. Schulz-Rosengarten; R. von Hanxleden","Department of Computer Science, Kiel University, Kiel, Germany; Department of Computer Science, Kiel University, Kiel, Germany; Department of Computer Science, Kiel University, Kiel, Germany",2020 Forum for Specification and Design Languages (FDL),"2 Nov 2020","2020","","","1","8","Synchronous programming languages, such as Esterel, Lustre, SCADE or SCCharts, have been developed for designing reactive systems. They abstract from computation times and assume that outputs are synchronous with their inputs. This leads to a deterministic semantics, without race conditions, which makes synchronous languages particularly suitable for safety-critical systems. However, even though synchronous languages have been designed with real-time applications in mind, the handling of physical time is traditionally left to the execution environment. This makes e. g. the expression of arbitrary timeouts difficult and may lead to excessive “busy waiting” computations. The recent proposal of dynamic ticks alleviates this by making physical time a first-class citizen within the synchronous programming model. In this paper, we explore and demonstrate the practical merits of dynamic ticks, including improved timing accuracy and reduced computational requirements, in the context of Timed SCCharts. As demonstration platform, we present a hardware/software platform that involves two stepper motors whose operation must be synchronized at microsecond accuracy to avoid physical damage.","1636-9874","978-1-7281-8928-4","10.1109/FDL50818.2020.9232943","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9232943","Real-time systems;reactive systems;synchronous languages;dynamic ticks;FPGA","Synchronous motors;Real-time systems;Timing;Software;Clocks;Vehicle dynamics;Hardware","","","","19","IEEE","2 Nov 2020","15-17 Sept. 2020","15-17 Sept. 2020","IEEE","IEEE Conferences"
"Embedding Polychrony into Synchrony","J. Brandt; M. Gemünde; K. Schneider; S. K. Shukla; J. -P. Talpin","Department of Computer Science, University of Kaiserslautern, Kaiserslautern, Germany; Department of Computer Science, University of Kaiserslautern, Kaiserslautern, Germany; Department of Computer Science, University of Kaiserslautern, Kaiserslautern, Germany; Hume Center for National Security and Technology, Virginia Tech Arlington Research Center, Arlington, VA, USA; Rennes-Bretagne-Atlantique, IRISA/INRIA, INRIA, Rennes, France",IEEE Transactions on Software Engineering,"26 Jun 2013","2013","39","7","917","929","This paper presents an embedding of polychronous programs into synchronous ones. Due to this embedding, it is not only possible to deepen the understanding of these different models of computation, but, more importantly, it is possible to transfer compilation techniques that were developed for synchronous programs to polychronous programs. This transfer is nontrivial because the underlying paradigms differ more than their names suggest: Since synchronous systems react deterministically to given inputs in discrete steps, they are typically used to describe reactive systems with a totally ordered notion of time. In contrast, polychronous system models entail a partially ordered notion of time, and are most suited to interface a system with an asynchronous environment by specifying input/output constraints from which a deterministic controller may eventually be refined and synthesized. As particular examples for the mentioned cross fertilization, we show how a simulator and a verification backend for synchronous programs can be made available to polychronous specifications, which is a first step toward integrating heterogeneous models of computation.","1939-3520","","10.1109/TSE.2012.85","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6381420","Model-driven embedded software;synchronous programming;polychronous programming;programming models;synchrony hypothesis;synchronous guarded commands","Clocks;Computational modeling;Synchronization;Embedded systems;Hardware;Unified modeling language","","6","","42","IEEE","13 Dec 2012","July 2013","","IEEE","IEEE Journals"
"Investigation of Circularly Polarized CPW Fed Antenna as a 2.45 GHz RFID Reader","A. Birwal; V. Kaushal; K. Patel","Department of Electronic Science, University of Delhi South Campus, New Delhi, India; Department of Electronic Science, University of Delhi South Campus, New Delhi, India; Department of Electronic Science, University of Delhi South Campus, New Delhi, India",IEEE Journal of Radio Frequency Identification,"23 Sep 2022","2022","6","","593","600","In this paper, a bi-directional coplanar-waveguide (CPW)-fed antenna with circular polarization (CP) is investigated as a radio frequency identification (RFID) reader antenna. The antenna geometry is square and printed on one side of the FR4 substrate only, which consumes an overall dimension of  $60\times 60$  mm2 with a thickness of 1.5 mm. The simulated and measured parameters of the antenna are in agreement with an impedance bandwidth ( $\text{S}_{11} < -10$  dB) of 40.2% (2.18–3.28 GHz) and ARBW (<3 dB) of 28.3% (2.03-2.7 GHz), respectively. The peak gain of the proposed antenna is 3.17 dBi in both ± z directions. An Arduino UNO-based open-source microcontroller setup is used for studying this antenna as an RFID reader antenna, along with a wireless module NRF24L01 module at 2.45 GHz with an external antenna (tag). The path loss between the tag and reader antennas is found to increase in the desired band due to interference exists.","2469-7281","","10.1109/JRFID.2022.3172691","Faculty Research Programme (FRP) of the Institute of Eminence (IoE) Scheme of the University of Delhi(grant numbers:IoE/2021/12/FRP); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9770194","Axial ratio (AR);circular polarization (CP);RFID;reader antenna;return loss","Antennas;Radiofrequency identification;Antenna measurements;Impedance;Polarization;Microwave antennas;Wireless communication","","18","","20","IEEE","6 May 2022","2022","","IEEE","IEEE Journals"
"Exact high level WCET analysis of synchronous programs by symbolic state space exploration","G. Logothetis; K. Schneider","Institute for Computer Design and Fault Tolerance, University of Karlsruhe, Karlsruhe, Germany; Department of Computer Science, University of Kaiserslautern, Kaiserslautern, Germany","2003 Design, Automation and Test in Europe Conference and Exhibition","19 Dec 2003","2003","","","196","203","In this paper a novel approach to high-level (i.e. architecture independent) worst case execution time (WCET) analysis is presented that automatically computes exact bounds for all inputs. To this end, we make use of the distinction between micro and macro steps as usually done by synchronous languages. As macro steps must not contain loops, a later low-level WCET analysis (architecture dependent) is simplified to a large extent. Checking exact execution times for all inputs is a complex task that can nevertheless be efficiently done when implicit state space representations are used. With our tools, it is not only possible to compute path information by exploring all computations, but also to verify given path information.","1530-1591","0-7695-1870-2","10.1109/DATE.2003.1186386","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1186386","","State-space methods;Space exploration;Computer architecture;Real time systems;Embedded system;Microcontrollers;Fault tolerance;Computer science;Microprocessors;Embedded computing","","6","","30","IEEE","19 Dec 2003","7-7 March 2003","7-7 March 2003","IEEE","IEEE Conferences"
"galsC: a language for event-driven embedded systems","E. Cheong; J. Liu","Department of EECS, University of California Berkeley, Berkeley, CA, USA; Microsoft Research Limited, Redmond, WA, USA","Design, Automation and Test in Europe","21 Mar 2005","2005","","","1050","1055 Vol. 2","We introduce galsC, a language designed for programming event-driven embedded systems such as sensor networks. galsC implements the TinyGALS (globally asynchronous and locally synchronous) programming model. At the local level, software components are linked via synchronous method calls to form actors. At the global level, actors communicate with each other asynchronously via message passing, which separates the flow of control between actors. A complementary model, called TinyGUYS, is a guarded yet synchronous model designed to allow thread-safe sharing of global state between actors via parameters without explicitly passing messages. The galsC compiler extends the nesC compiler, which allows for better type checking and code generation. Having a well-structured concurrency model at the application level greatly reduces the risk of concurrency errors, such as deadlock and race conditions. The galsC language is implemented on the Berkeley motes and is compatible with the TinyOS/nesC component library. We use a multi-hop wireless sensor network as an example to illustrate the effectiveness of the language.","1558-1101","0-7695-2288-2","10.1109/DATE.2005.165","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1395729","","Embedded system;Concurrent computing;Embedded software;Message passing;Hardware;Operating systems;Writing;Application software;Computer languages;Sensor systems","","11","","16","IEEE","21 Mar 2005","7-11 March 2005","7-11 March 2005","IEEE","IEEE Conferences"
"Engineering functional requirements of reactive systems using synchronous languages","E. Jahier; N. Halbwachs; P. Raymond","Verimag, Centre National de la Recherche Scientifique, Gieres, France; Verimag, Centre National de la Recherche Scientifique, Gieres, France; Verimag, Centre National de la Recherche Scientifique, Gieres, France",2013 8th IEEE International Symposium on Industrial Embedded Systems (SIES),"19 Sep 2013","2013","","","140","149","Automating the functional testing of reactive systems requires to provide a formal specification of the system environment which defines the admissible test inputs. It also requires a specification of the expected properties of the system in order to decide whether a test succeeds or fails. Engineering these formal specifications is a difficult task, as it is not part of the usual manual testing process. In this paper, we report some experiments that have been conducted within a project in collaboration with industrial developers of nuclear power plant control systems. In this project, automatic testing tools have been used for checking the correctness of reactive systems developed incrementally, using heterogeneous industrial engineering workbenches. But these tools appeared to be useful also for elaborating and refining formal, consistent, and accurate functional requirements.","2150-3117","978-1-4799-0658-1","10.1109/SIES.2013.6601486","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6601486","","Libraries;Testing;Vectors;Control systems;Observers;Temperature;Computational modeling","","10","","26","IEEE","19 Sep 2013","19-21 June 2013","19-21 June 2013","IEEE","IEEE Conferences"
"Desynchronizing Synchronous Programs by Modes","J. Brandt; M. Gemunde; K. Schneider","Embedded Systems Group, Department of Computer Science, University of Kaiserslautern, Kaiserslautern, Germany; Embedded Systems Group, Department of Computer Science, University of Kaiserslautern, Kaiserslautern, Germany; Embedded Systems Group, Department of Computer Science, University of Kaiserslautern, Kaiserslautern, Germany",2009 Ninth International Conference on Application of Concurrency to System Design,"23 Oct 2009","2009","","","32","41","The synchronous programming paradigm simplifies the specification and verification of reactive systems. However, synchronous programs must be often implemented on architectures that do not follow this model of computation (like distributed systems or systems-on-a-chip). This gives rise to desynchronization techniques, which map the synchronous program to a platform without global time while preserving the original synchronous semantics. In this paper, we present a new approach to desynchronize synchronous programs. Our approach is based on partitioning the system and deriving suited computation modes for that partitioning. These computation modes dynamically decouple the components of a system by eliminating temporarily unnecessary and undesired computations and communications. We present several variations of the general concept and discuss their pros and cons. Finally, we illustrate our approach with the help of several small examples.","1550-4808","978-0-7695-3697-2","10.1109/ACSD.2009.24","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5291070","Synchronous Programs;Desynchronization","Synchronization;Clocks;Embedded system;Hardware;Application software;Concurrent computing;Computer science;Computer architecture;Computational modeling;Distributed computing","","4","","24","IEEE","23 Oct 2009","1-3 July 2009","1-3 July 2009","IEEE","IEEE Conferences"
"Preservation of LTL properties in desynchronized systems","Y. Bai; J. Brandt; K. Schneider","Embedded Systems Group, Department of Computer Science, University of Kaiserslautern, Germany; Embedded Systems Group, Department of Computer Science, University of Kaiserslautern, Germany; Embedded Systems Group, Department of Computer Science, University of Kaiserslautern, Germany",Tenth ACM/IEEE International Conference on Formal Methods and Models for Codesign (MEMCODE2012),"3 Sep 2012","2012","","","53","64","The synchronous programming model is perfect for modeling, simulation, verification and implementation of reactive systems. While this paradigm can be directly implemented as hardware circuits, multithreaded software implementations are typically based on asynchronous threads. For this reason, an efficient multithreaded software implementation of a synchronous program requires a so-called desynchronization that could however potentially violate the already verified properties of the synchronous program. In this paper, we therefore present a theory to check whether properties verified for a synchronous system are preserved by a desynchronization. In particular, we prove a theorem based on directed-flow equivalence that specifies the requirements of delay relations among system variables that a desynchronization has to meet.","","978-1-4673-1313-1","10.1109/MEMCOD.2012.6292300","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6292300","","Computational modeling;Delay;Synchronization;Context;Integrated circuit modeling;Embedded systems","","2","","19","IEEE","3 Sep 2012","16-17 July 2012","16-17 July 2012","IEEE","IEEE Conferences"
"HW/SW co-design for Esterel processing","S. Gädtke; C. Traulsen; R. von Hanxleden","Real-Time and Embedded Systems Group, Department of Computer Science, Christian-Albrechts-Universität Kiel, Kiel, Germany; Real-Time and Embedded Systems Group, Department of Computer Science, Christian-Albrechts-Universität Kiel, Kiel, Germany; Real-Time and Embedded Systems Group, Department of Computer Science, Christian-Albrechts-Universität Kiel, Kiel, Germany",2007 5th IEEE/ACM/IFIP International Conference on Hardware/Software Codesign and System Synthesis (CODES+ISSS),"21 Apr 2011","2007","","","99","104","We present a co-synthesis approach that accelerates reactive software processing by moving the calculation of complex expressions into external combinational hardware. The starting point is a system model written in the synchronous language Esterel, which can be mapped to both hardware and software. Our approach performs the partitioning at the source-code level and preserves the original, strictly synchronous semantics. It is thus platform-independent and allows to use standard simulation and synthesis tools. Furthermore, the source-level partitioning approach presented here should be applicable to non-reactive processing platforms as well. However, the challenge is to partition the program without changing its meaning under any circumstances. In particular, signal scopes and interpartition signal dependencies must be maintained, which rules out a naïve top-level partitioning. We have implemented the co-synthesis approach based on the Columbia Esterel Compiler and have validated it on the Kiel Esterel Processor. As the experimental results confirm, this can significantly reduce execution times and energy consumption per reaction, with minimal additional hardware requirements.","","978-1-5959-3824-4","10.1145/1289816.1289842","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5753867","HW/SW Co-Design;Synchronous Languages;Esterel;Reactive Processing","Hardware;Software;Registers;Benchmark testing;Random access memory;Semantics;Field programmable gate arrays","","1","","14","","21 Apr 2011","30 Sept.-3 Oct. 2007","30 Sept.-3 Oct. 2007","IEEE","IEEE Conferences"
"The Sparse Synchronous Model","S. A. Edwards; J. Hui","Department of Computer Science, Columbia University, New York, USA; Department of Computer Science, Columbia University, New York, USA",2020 Forum for Specification and Design Languages (FDL),"3 Nov 2020","2020","","","1","8","We present the Sparse Synchronous model (SSM) of computation, which allows a programmer to specify software timing more precisely than the traditional “heartbeat” of mainstream operating systems or the synchronous languages. SSM is a mix of semantics inspired by discrete event simulators and the synchronous languages designed to operate in resource-constrained environments such as microcontrollers. SSM provides precise timing prescriptions, concurrency, and determinism. We present SSM, its motivations, and details of a lightweight runtime system upon which a future language will be built.","1636-9874","978-1-7281-8928-4","10.1109/FDL50818.2020.9232938","National Institutes of Health (NIH)(grant numbers:1RF1MH1270014-01); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9232938","real time systems;concurrency control;computer languages;timing","Reactive power;Timing;Runtime;Syntactics;Microcontrollers;Heart rate variability;Task analysis","","10","","20","IEEE","3 Nov 2020","15-17 Sept. 2020","15-17 Sept. 2020","IEEE","IEEE Conferences"
"A Predictable Framework for Safety-Critical Embedded Systems","S. Andalam; P. S. Roop; A. Girault; C. Traulsen","Department of Electrical and Computer Engineering, University of Auckland, Auckland, New Zealand; Department of Electrical and Computer Engineering, University of Auckland, Auckland, New Zealand; INRIA Grenoble Rhône-Alpes, LIG POP ART Team, Grenoble, France; Christian-Albrechts Universitat zu Kiel, Kiel, Germany",IEEE Transactions on Computers,"23 Jun 2014","2014","63","7","1600","1612","Safety-critical embedded systems, commonly found in automotive, space, and health-care, are highly reactive and concurrent. Their most important characteristics are that they require both functional and timing correctness. C has been the language of choice for programming such systems. However, C lacks many features that can make the design process of such systems seamless while also maintaining predictability. This paper addresses the need for a C-based design framework for achieving time predictability. To this end, we propose the PRET-C language and the ARPRET architecture. PRET-C offers a small set of extensions to a subset of C to facilitate effective concurrent programming. We present a new synchronous semantics for PRET-C. It guarantees that all PRET-C programs are deterministic, reactive, and provides thread-safe communication via shared memory access. This simplifies considerably the design of safety-critical systems. We also present the architecture of a precision timed machine (PRET) called ARPRET. It offers the ability to design time predictable architectures through simple customizations of soft-core processors. We have designed ARPRET particularly for efficient and predictable execution of PRET-C. We demonstrate through extensive benchmarking that PRET-C based system design excels in comparison to existing C-based paradigms. We also qualitatively compare our approach to the Berkeley-Columbia PRET approach. We have demonstrated that the proposed approach provides an ideal framework for designing and validating safety-critical embedded systems.","1557-9956","","10.1109/TC.2013.28","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6463378","Safety-critical systems;synchronous languages;time predictability;PRET;PRET-C;WCRT;WCET","Instruction sets;Computer architecture;Timing;Semantics;Programming;Real-time systems","","22","","33","IEEE","15 Feb 2013","July 2014","","IEEE","IEEE Journals"
"Model-based programming of intelligent embedded systems and robotic space explorers","B. C. Williams; M. D. Ingham; S. H. Chung; P. H. Elliott","Space Systems and Artificial Intelligence Laboratories, Massachusetts Institute of Technology, Cambridge, MA, USA; Space Systems and Artificial Intelligence Laboratories, Massachusetts Institute of Technology, Cambridge, MA, USA; Space Systems and Artificial Intelligence Laboratories, Massachusetts Institute of Technology, Cambridge, MA, USA; Space Systems and Artificial Intelligence Laboratories, Massachusetts Institute of Technology, Cambridge, MA, USA",Proceedings of the IEEE,"29 Jan 2003","2003","91","1","212","237","Programming complex embedded systems involves reasoning through intricate system interactions along lengthy paths between sensors, actuators, and control processors. This is a challenging, time-consuming, and error-prone process requiring significant interaction between engineers and software programmers. Furthermore, the resulting code generally lacks modularity and robustness in the presence of failure. Model-based programming addresses these limitations, allowing engineers to program reactive systems by specifying high-level control strategies and by assembling commonsense models of the system hardware and software. In executing a control strategy, model-based executives reason about the models ""on the fly,"" to track system state, diagnose faults, and perform reconfigurations. This paper develops the reactive model-based programming language (RMPL) and its executive, called Titan. RMPL provides the features of synchronous, reactive languages, with the added ability of reading and writing to state variables that are hidden within the physical plant being controlled. Titan executes an RMPL program using extensive component-based declarative models of the plant to track states, analyze anomalous situations, and generate novel control sequences. Within its reactive control loop, Titan employs propositional inference to deduce the system's current and desired states, and it employs model-based reactive planning to move the plant from the current to the desired state.","1558-2256","","10.1109/JPROC.2002.805828","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1173215","","Intelligent robots;Space exploration;Robot programming;Intelligent systems;Embedded system;Orbital robotics;Intelligent sensors;Intelligent actuators;Robot sensing systems;Sensor systems","","98","","31","IEEE","29 Jan 2003","Jan. 2003","","IEEE","IEEE Journals"
"Timestamp Peripherals for Precise Real-Time Programming","J. Hui; K. J. Edwards; S. A. Edwards","Columbia University, New York, New York, USA; Columbia University, New York, New York, USA; Columbia University, New York, New York, USA",2023 21st ACM-IEEE International Symposium on Formal Methods and Models for System Design (MEMOCODE),"17 Nov 2023","2023","","","137","147","On microcontrollers, timer devices provide high-precision timing, but that precision is lost when using high-level languages without suitable abstractions for temporal behavior. So, for timing-sensitive applications, programmers resort to low-level languages like C which lack expressiveness and safety guarantees. Other programmers use specialized precision-timing hardware which is expensive and difficult to obtain.In this work, we achieve sub-microsecond precision from a high-level real-time programming language on the RP2040, a cheap, widely available microcontroller. Our work takes advantage of the RP2040’s Programmable I/O (PIO) devices, which are cycle-accurate coprocessors designed for implementing hardware protocols over the RP2040’s GPIO pins.We use the PIO devices to implement timestamp peripherals, which are input capture and output compare devices. We use timestamp peripherals to mediate I/O from programs written in Sslang, a real-time programming language with deterministic concurrency. We show that timestamp peripherals help Sslang programs achieve the precise timing behavior prescribed by Sslang’s Sparse Synchronous Programming model.","2832-6520","979-8-4007-0318-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10316219","real time systems;concurrency control;computer languages;timing","Runtime;Uncertainty;Microcontrollers;Programming;Real-time systems;Software;Hardware","","2","","22","","17 Nov 2023","21-22 Sept. 2023","21-22 Sept. 2023","IEEE","IEEE Conferences"
"Context-Aware Task Handling in Resource-Constrained Robots with Virtualization","R. Hadidi; N. S. Ghaleshahi; B. Asgari; H. Kim",Rain AI; Georgia Tech; University of Maryland; Georgia Tech,2023 IEEE International Conference on Edge Computing and Communications (EDGE),"1 Sep 2023","2023","","","255","261","Intelligent mobile robots are critical in several scenarios. However, as their computational resources are limited, mobile robots struggle to handle several tasks concurrently while guaranteeing real timeliness. To address this challenge and improve the real-timeliness of critical tasks under resource constraints, we propose a fast context-aware task handling technique. To effectively handle tasks in real-time, our proposed context-aware technique comprises three main ingredients: (i) a dynamic time-sharing mechanism, coupled with (ii) an event-driven task scheduling using reactive programming paradigm to mindfully use the limited resources; and, (iii) a lightweight virtualized execution to easily integrate functionalities and their dependencies. We showcase our technique on a Raspberry-Pi-based robot with a variety of tasks such as Simultaneous localization and mapping (SLAM), sign detection, and speech recognition with a 42% speedup in total execution time compared to the common Linux scheduler.","2767-9918","979-8-3503-0483-1","10.1109/EDGE60047.2023.00047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10234269","Edge AI;Software;Mobile Robots;Middleware and Programming Environments;Reactive and Sensor-Based Planning","Simultaneous localization and mapping;Processor scheduling;Linux;Image edge detection;Speech recognition;Programming;Dynamic scheduling","","1","","29","IEEE","1 Sep 2023","2-8 July 2023","2-8 July 2023","IEEE","IEEE Conferences"
"Performing causality analysis by bounded model checking","K. Schneider; J. Brandt","Embedded Systems Group, Department of Computer Science, University of Kaiserslautern, Germany; Embedded Systems Group, Department of Computer Science, University of Kaiserslautern, Germany",2008 8th International Conference on Application of Concurrency to System Design,"19 Sep 2008","2008","","","78","87","Synchronous systems can immediately react to the inputs of their environment which may lead to so-called causality cycles between actions and their trigger conditions. Systems with causality cycles may not be consistent or may become nondeterministic. For this reason, compilers for synchronous languages usually employ special analyses to guarantee a predictable runtime behavior of the considered programs. In this paper, we show how causality analysis can be formulated as a model checking problem, so that all of the sophisticated algorithms originally developed for model checking can now also be used for causality analysis. To this end, we model the dasiaemicro steppsila behavior of synchronous programs in terms of a transition relation that can be directly used for symbolic model checking. Moreover, we show that the obtained model checking problems can be even decided by bounded model-checking problems so that modern SAT-solvers can be used to efficiently solve the causality problem.","1550-4808","978-1-4244-1838-1","10.1109/ACSD.2008.4574599","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4574599","","Performance analysis;Algorithm design and analysis;Hardware;Data structures;Embedded system;Computer science;Program processors;Runtime;Feedback circuits;Feedback loop","","7","1","20","IEEE","19 Sep 2008","23-27 June 2008","23-27 June 2008","IEEE","IEEE Conferences"
"Modular Verification of Synchronous Programs","M. Gesell; K. Schneider","Embedded Systems Group, University of Kaiserslautern, Kaiserslautern, Germany; Embedded Systems Group, University of Kaiserslautern, Kaiserslautern, Germany",2013 13th International Conference on Application of Concurrency to System Design,"16 Sep 2013","2013","","","70","79","In this paper, we develop an approach to the modular verification of synchronous programs. To this end, we have to solve two major problems: First, if a synchronous module is verified without its later context, outputs may not be completely determined (since the calling module may add further actions on the outputs of the called module). It is not difficult to see that the open system obtained by modular compilation simulates the closed one obtained by the linker, and therefore, we can preserve all universal temporal properties. Second, a module call may replace the formal input parameters by expressions which corresponds with a substitution of variables in the symbolic transition relation. In particular, this affects the starting point and potential preemption conditions of the module and can therefore dramatically affect the behavior of the module. For this reason, we have to modify the temporal specifications accordingly. We prove a preservation result for this transformation that defines a simulation preorder modulo substitution. Our results finally determine a proof rule for the verification of module calls in imperative synchronous programs.","1550-4808","978-0-7695-5035-0","10.1109/ACSD.2013.10","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6598342","Modular Verification;Interactive Verification;Synchronous Languages","Context;Open systems;Model checking;Semantics;Concurrent computing;Explosions;Input variables","","3","","23","IEEE","16 Sep 2013","8-10 July 2013","8-10 July 2013","IEEE","IEEE Conferences"
"ILPc: A novel approach for scalable timing analysis of synchronous programs","J. J. Wang; P. S. Roop; S. Andalam",University of Auckland; University of Auckland; University of Auckland,"2013 International Conference on Compilers, Architecture and Synthesis for Embedded Systems (CASES)","14 Nov 2013","2013","","","1","10","Synchronous programs have been widely used in the design of safety critical systems such as the flight control of Airbus A-380. To validate the implementations of synchronous programs, it is necessary to map the program's logical time (measured in logical ticks) to physical time (the execution time on a given processor). The static computation of the worst case execution time of logical ticks is called Worst Case Reaction Time (WCRT) analysis. Several approaches for WCRT analysis exist: max-plus algebra, model checking, reachability and integer linear programming (ILP). Of these approaches, reachability, model checking and ILP provide reasonably precise worst case estimates at the expense of longer analysis time. Apart from max-plus based approaches, which can produce large overestimates, the existing approaches suffer from the state space explosion problem. In this paper, we develop a new ILP based approach, called ILPc-which exploits the concurrency explicitly in the ILP formulation to avoid the state space explosion problem. Through extensive bench-marking we demonstrate the efficacy of the approach: for complex programs, ILPc is often orders of magnitude faster compared to the existing approaches, while achieving same level of precision. Thus, this paper paves the way for scalable WCRT analysis of complex embedded systems designed using the synchronous approach.","","978-1-4799-1400-5","10.1109/CASES.2013.6662526","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6662526","Integer linear programming;Scability;Static timing analysis;Synchronous languages","Computational modeling;Instruction sets;Timing;Concurrent computing;Semantics;Model checking;Linear programming","","9","","19","IEEE","14 Nov 2013","29 Sept.-4 Oct. 2013","29 Sept.-4 Oct. 2013","IEEE","IEEE Conferences"
"Static data-flow analysis of synchronous programs","J. Brandt; K. Schneider","Department of Computer Science, University of Kaiserslautern, Germany; Department of Computer Science, University of Kaiserslautern, Germany",2009 7th IEEE/ACM International Conference on Formal Methods and Models for Co-Design,"7 Aug 2009","2009","","","161","170","Synchronous programming languages are well-suited for the design of safety-critical real-time embedded systems. However, the compilers and synthesis procedures are challenged by the synchronous programming paradigm and have to solve additional problems like causality and schizophrenia problems. Algorithms to solve these basic compilation problems have already become mature, but code optimization still lacks behind. Often, code optimization is left to the back-end tools like compilers for sequential software or hardware synthesis tools. In this paper, we develop a static analysis procedure to introduce code optimization techniques to synchronous languages. We develop specialized code optimization procedures that can be applied to all kinds of synchronous languages. Similar to the code optimization techniques used for the compilation of sequential software, our procedures are also based on a static data-flow analysis that is adapted to the synchronous programing model.","","978-1-4244-4806-7","10.1109/MEMCOD.2009.5185392","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5185392","","Data analysis;Hardware;Synchronous generators;Program processors;Embedded system;Optimizing compilers;Computer architecture;Real time systems;Computational modeling;Circuits","","5","","38","IEEE","7 Aug 2009","13-15 July 2009","13-15 July 2009","IEEE","IEEE Conferences"
