database,source_row,source_id,title,authors,normalized_title,normalized_authors,year,doi,publication_title,document_type,url
wos,50,WOS:000090089700061,A comparison of OO and Reactive based specifications on the Design of Embedded Systems,"Ito, SA; de Mattos, JCB; Carro, L; Toscani, SS",a comparison of oo and reactive based specifications on the design of embedded systems,ito sa de mattos jcb carro l toscani ss,2000,10.1109/SBCCI.2000.876060,"13TH SYMPOSIUM ON INTEGRATED CIRCUITS AND SYSTEMS DESIGN, PROCEEDINGS",Proceedings Paper,View Full Record in Web of Science
wos,51,WOS:000350345700038,Targeting Different Abstraction Layers by Model-Based Design Methods for Embedded Systems: A Case Study,"Rafique, O; Gesell, M; Schneider, K",targeting different abstraction layers by model based design methods for embedded systems a case study,rafique o gesell m schneider k,2013,,2013 IEEE 19TH INTERNATIONAL CONFERENCE ON EMBEDDED AND REAL-TIME COMPUTING SYSTEMS AND APPLICATIONS (RTCSA),Proceedings Paper,View Full Record in Web of Science
wos,52,WOS:000366212700027,Multi-rate System Design Through Integrating Synchronous Components,"Sun, K",multi rate system design through integrating synchronous components,sun k,2015,10.1007/978-3-319-25150-9_27,THEORETICAL ASPECTS OF COMPUTING - ICTAC 2015,Proceedings Paper,View Full Record in Web of Science
wos,53,WOS:000247600200044,Embedded microcontroller networks: Acoustic materials health monitoring - art. no. 65301F,"Rye, PM",embedded microcontroller networks acoustic materials health monitoring art no 65301f,rye pm,2007,10.1117/12.715213,"Sensor Systems and Networks: Phenomena, Technology, and Applications for NDE and Health Monitoring 2007",Proceedings Paper,View Full Record in Web of Science
wos,54,WOS:001833389300001,Polymer Composite-Enabled UAV Platform for Edge AI-Based Precision Agriculture: A System-Level Evaluation,"Khan, PI; Reddy, YN; Veeresh, P; Khan, A",polymer composite enabled uav platform for edge ai based precision agriculture a system level evaluation,khan pi reddy yn veeresh p khan a,2026,,JOURNAL OF POLYMER & COMPOSITES,Article,View Full Record in Web of Science
wos,55,WOS:000305317700001,Towards a Signal Calculus for Event-Based Synchronous Languages,"Zhao, YX; He, JF",towards a signal calculus for event based synchronous languages,zhao yx he jf,2011,,FORMAL METHODS AND SOFTWARE ENGINEERING,Proceedings Paper,View Full Record in Web of Science
wos,56,WOS:000228774100004,Encapsulation and behavioral inheritance in a synchronous model of computation for embedded system services adaptation,"Kerboeuf, ML; Talpin, JP",encapsulation and behavioral inheritance in a synchronous model of computation for embedded system services adaptation,kerboeuf ml talpin jp,2005,10.1016/j.jlap.2004.05.005,JOURNAL OF LOGIC AND ALGEBRAIC PROGRAMMING,Article,View Full Record in Web of Science
wos,57,WOS:001054880600056,Semantics foundations of PsyC based on synchronous Logical Execution Time,"Siron, F; Potop-Butucaru, D; de Simone, R; Chabrol, D; Methni, A",semantics foundations of psyc based on synchronous logical execution time,siron f potop butucaru d de simone r chabrol d methni a,2023,10.1145/3576914.3587495,"2023 CYBER-PHYSICAL SYSTEMS AND INTERNET-OF-THINGS WEEK, CPS-IOT WEEK WORKSHOPS",Proceedings Paper,View Full Record in Web of Science
wos,58,WOS:000278758700006,Evaluation of an Esterel-based Hardware/Software Co-Design Flow,"Roessler, P; Zauner, M",evaluation of an esterel based hardware software co design flow,roessler p zauner m,2009,10.1109/SIES.2009.5196190,2009 IEEE INTERNATIONAL SYMPOSIUM ON INDUSTRIAL EMBEDDED SYSTEMS,Proceedings Paper,View Full Record in Web of Science
wos,59,WOS:000081459500009,Worst-case execution times and schedulability analysis of statecharts models,"Erpenbach, E; Altenbernd, P",worst case execution times and schedulability analysis of statecharts models,erpenbach e altenbernd p,1999,10.1109/EMRTS.1999.777452,PROCEEDINGS OF THE 11TH EUROMICRO CONFERENCE ON REAL-TIME SYSTEMS,Proceedings Paper,View Full Record in Web of Science
wos,60,WOS:000291895000008,Static Analysis of Synchronous Programs in Signal for Efficient Design of Multi-Clocked Embedded Systems,"Gamatié, A; Gonnord, L",static analysis of synchronous programs in signal for efficient design of multi clocked embedded systems,gamatié a gonnord l,2011,,"LCTES 11: PROCEEDINGS OF THE ACM SIGPLAN/SIGBED 2011 CONFERENCE ON LANGUAGES, COMPILERS, TOOLS AND THEORY FOR EMBEDDED SYSTEMS",Proceedings Paper,View Full Record in Web of Science
wos,61,WOS:000294608700008,Static Analysis of Synchronous Programs in Signal for Efficient Design of Multi-Clocked Embedded Systems,"Gamatié, A; Gonnord, L",static analysis of synchronous programs in signal for efficient design of multi clocked embedded systems,gamatié a gonnord l,2011,10.1145/2016603.1967688,ACM SIGPLAN NOTICES,Article,View Full Record in Web of Science
wos,62,WOS:000297360000185,RJOP - A Customized Java Processor for Reactive Embedded Systems,"Nadeem, M; Biglari-Abhari, M; Salcic, Z",rjop a customized java processor for reactive embedded systems,nadeem m biglari abhari m salcic z,2011,,PROCEEDINGS OF THE 48TH ACM/EDAC/IEEE DESIGN AUTOMATION CONFERENCE (DAC),Proceedings Paper,View Full Record in Web of Science
wos,63,WOS:000170412100001,Specification and validation of embedded systems using LUSTRE and ARGOS. Case study: The automatic headlight leveling system,"Gmehlich, R",specification and validation of embedded systems using lustre and argos case study the automatic headlight leveling system,gmehlich r,2001,10.1023/A:1011237030847,DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,Article,View Full Record in Web of Science
wos,64,WOS:000169941200086,A formal approach to component based development of synchronous programs,"Roop, PS; Sowmya, A; Ramesh, S",a formal approach to component based development of synchronous programs,roop ps sowmya a ramesh s,2001,,PROCEEDINGS OF THE ASP-DAC 2001: ASIA AND SOUTH PACIFIC DESIGN AUTOMATION CONFERENCE 2001,Proceedings Paper,View Full Record in Web of Science
wos,65,WOS:000243258900032,Polychronous methodology for system design: A true concurrency approach,"Suhaib, S; Mathaikutty, D; Shukla, S; Talpin, JP",polychronous methodology for system design a true concurrency approach,suhaib s mathaikutty d shukla s talpin jp,2006,,"HLDVT'06: ELEVENTH ANNUAL IEEE INTERNATIONAL HIGH-LEVEL DESIGN VALIDATION AND TEST WORKSHOP, PROCEEDINGS",Proceedings Paper,View Full Record in Web of Science
